outlet_id,order_id,order_date,product_id,product_name,category,quantity,unit_price,revenue,discount,promotion_code
OUT001,LOUT001-0001,2026-05-03,P002,Heritage Fries,Sides,4,2.45,9.80,4.90,PROMO2FOR1
OUT001,LOUT001-0002,2026-05-11,P004,Vintage Salad,Salad,3,4.85,14.55,0.00,
OUT001,LOUT001-0003,2026-05-21,P004,Vintage Salad,Salad,3,4.85,14.55,7.27,PROMO2FOR1
OUT001,LOUT001-0004,2026-05-23,P002,Heritage Fries,Sides,3,2.45,7.35,0.00,
OUT001,LOUT001-0005,2026-05-27,P002,Heritage Fries,Sides,1,2.45,2.45,0.00,
OUT001,LOUT001-0006,2026-05-05,P001,Retro Burger,Burger,1,5.95,5.95,2.98,PROMO2FOR1
OUT001,LOUT001-0007,2026-05-17,P004,Vintage Salad,Salad,2,4.85,9.70,0.00,
OUT001,LOUT001-0008,2026-05-17,P001,Retro Burger,Burger,3,5.95,17.85,8.93,PROMO2FOR1
OUT001,LOUT001-0009,2026-05-21,P004,Vintage Salad,Salad,4,4.85,19.40,0.00,
OUT001,LOUT001-0010,2026-05-08,P001,Retro Burger,Burger,4,5.95,23.80,0.00,
OUT001,LOUT001-0011,2026-05-29,P001,Retro Burger,Burger,4,5.95,23.80,2.38,PROMO10
OUT001,LOUT001-0012,2026-05-06,P003,Tea Room Shake,Beverage,2,3.15,6.30,0.00,
OUT001,LOUT001-0013,2026-05-23,P001,Retro Burger,Burger,2,5.95,11.90,1.19,PROMO10
OUT001,LOUT001-0014,2026-05-06,P003,Tea Room Shake,Beverage,3,3.15,9.45,0.00,
OUT001,LOUT001-0015,2026-05-15,P001,Retro Burger,Burger,3,5.95,17.85,1.79,PROMO10
OUT001,LOUT001-0016,2026-05-30,P004,Vintage Salad,Salad,1,4.85,4.85,0.48,PROMO10
OUT001,LOUT001-0017,2026-05-14,P001,Retro Burger,Burger,4,5.95,23.80,0.00,
OUT001,LOUT001-0018,2026-05-30,P002,Heritage Fries,Sides,2,2.45,4.90,0.00,
OUT001,LOUT001-0019,2026-05-03,P004,Vintage Salad,Salad,4,4.85,19.40,2.91,PROMO5
OUT001,LOUT001-0020,2026-05-25,P001,Retro Burger,Burger,2,5.95,11.90,0.00,
OUT002,LOUT002-0001,2026-05-01,P001,Retro Burger,Burger,3,5.95,17.85,8.93,PROMO2FOR1
OUT002,LOUT002-0002,2026-05-28,P003,Tea Room Shake,Beverage,1,3.15,3.15,0.32,PROMO10
OUT002,LOUT002-0003,2026-05-24,P004,Vintage Salad,Salad,1,4.85,4.85,0.73,PROMO5
OUT002,LOUT002-0004,2026-05-21,P002,Heritage Fries,Sides,1,2.45,2.45,0.25,PROMO10
OUT002,LOUT002-0005,2026-05-08,P002,Heritage Fries,Sides,4,2.45,9.80,4.90,PROMO2FOR1
OUT002,LOUT002-0006,2026-05-22,P002,Heritage Fries,Sides,4,2.45,9.80,0.98,PROMO10
OUT002,LOUT002-0007,2026-05-25,P003,Tea Room Shake,Beverage,4,3.15,12.60,6.30,PROMO2FOR1
OUT002,LOUT002-0008,2026-05-14,P004,Vintage Salad,Salad,2,4.85,9.70,0.97,PROMO10
OUT002,LOUT002-0009,2026-05-13,P004,Vintage Salad,Salad,1,4.85,4.85,0.00,
OUT002,LOUT002-0010,2026-05-18,P002,Heritage Fries,Sides,2,2.45,4.90,2.45,PROMO2FOR1
